@@,name,position
->,Sigurður Ingi Jóhannsson,Minister of Transport and Local Government->Minister of Infrastructure
->,Ásmundur Einar Daðason,Minister of Social Affairs and Children->Minister of Education and Children's Affairs
->,Áslaug Arna Sigurbjörnsdóttir,"Minister of Justice->Minister of Science, Industry and Innovation"
->,Svandís Svavarsdóttir,Minister of Health->Minister of Fisheries and Agriculture
->,Guðmundur Ingi Guðbrandsson,Minister for the Environment and Natural Resources->Minister of Social Affairs and the Labour Market
->,Gudlaugur Thór Thórdarson,Minister for Foreign Affairs and International Development Cooperation->Minister for the Environment and Natural Resources
---,Þórdís Kolbrún Reykfjörð Gylfadóttir,"Minister of Tourism, Industry and Innovation"
---,Kristján Þór Júlíusson,Minister of Fisheries and Agriculture
---,Lilja D. Alfreðsdóttir,"Minister of Education, Science and Culture"
+++,Jón Gunnarsson,Minister of the Interior
+++,Lilja Alfreðsdóttir,"Minister of Tourism, Trade and Culture"
+++,Willum Þór Þórsson,Minister of Health
+++,Þórdís Kolbrún R. Gylfadóttir,Minister for Foreign Affairs and International Development Cooperation
