name,position
Katrín Jakobsdóttir,Prime Minister
Bjarni Benediktsson,Minister of Finance and Economic Affairs
Sigurður Ingi Jóhannsson,Minister of Transport and Local Government
Kristján Þór Júlíusson,Minister of Fisheries and Agriculture
Svandís Svavarsdóttir,Minister of Health
Gudlaugur Thór Thórdarson,Minister for Foreign Affairs and International Development Cooperation
Þórdís Kolbrún Reykfjörð Gylfadóttir,"Minister of Tourism, Industry and Innovation"
Lilja D. Alfreðsdóttir,"Minister of Education, Science and Culture"
Ásmundur Einar Daðason,Minister of Social Affairs and Children
Guðmundur Ingi Guðbrandsson,Minister for the Environment and Natural Resources
Áslaug Arna Sigurbjörnsdóttir,Minister of Justice
