wdid,name,pid,position,source,psid
Q1557735,Gudlaugur Thór Thórdarson,Q55374777,Minister for Foreign Affairs and International Development Cooperation,https://www.government.is/government/current-government/,Q1557735-a5e6d6b3-40bc-973b-4210-33c0f897e3e0
Q201075,Sigurður Ingi Jóhannsson,Q6865928,Minister for Nordic Cooperation,,Q201075-e3f66ec4-4e31-8b51-066e-95c846019fb6
Q44216756,Guðmundur Ingi Guðbrandsson,Q16429370,Minister for the Environment and Natural Resources,,Q44216756-00ffa5ec-41c5-c534-caa2-01caedcda776
Q23753778,Lilja D. Alfreðsdóttir,Q12351697,"Minister of Education, Science and Culture",https://www.government.is/government/current-government/,Q23753778-26803860-42c7-1877-305d-585c0d1fee19
Q879376,Bjarni Benediktsson,Q17278719,Minister of Finance and Economic Affairs,,Q879376-09318770-4406-58e4-e869-fecb521a18e8
Q1789402,Kristján Þór Júlíusson,Q17278723,Minister of Fisheries and Agriculture,,Q1789402-ea68d683-4d3f-e43d-b9a5-fae24adf6258
Q438056,Svandís Svavarsdóttir,Q55374397,Minister of Health,,Q438056-b09f87f3-4922-1d16-8052-86bc22c94fc0
Q27988721,Áslaug Arna Sigurbjörnsdóttir,Q17013941,Minister of Justice,,Q27988721-ada88b4f-4af5-0608-b544-9c3fa6e5a615
Q252565,Ásmundur Einar Daðason,Q60606541,Minister of Social Affairs and Children,,Q252565-553cd721-4854-0d58-ab3b-05d89a0d092f
Q28734624,Þórdís Kolbrún Reykfjörð Gylfadóttir,Q55374178,"Minister of Tourism, Industry and Innovation",https://www.government.is/government/current-government/,Q28734624-c02daa2e-4491-1526-c566-05df40785fe6
Q201075,Sigurður Ingi Jóhannsson,Q107600158,Minister of Transport and Local Government,https://www.government.is/government/current-government/,Q201075-DDDC25B0-8F6E-4B1F-845C-E320D979F855
Q467464,Katrín Jakobsdóttir,Q19190022,Prime Minister,,Q467464-de2b05e2-48e2-e0af-3952-4103744daf82
