pageid,title
2810074,Willum Þór Þórsson
13697250,Dagur B. Eggertsson
14666338,Guðlaugur Þór Þórðarson
21340347,Katrín Jakobsdóttir
22572396,Bjarni Benediktsson (born 1970)
31653997,Svandís Svavarsdóttir
31700379,Birgir Ármannsson
31988104,Ásgeir Jónsson
35852069,Ásmundur Einar Daðason
35852183,Sigurður Ingi Jóhannsson
35852216,Jón Gunnarsson
50510040,Guðni Th. Jóhannesson
52840306,Lilja Dögg Alfreðsdóttir
56856024,Áslaug Arna Sigurbjörnsdóttir
56932664,Guðmundur Ingi Guðbrandsson
56938523,Þórdís Kolbrún R. Gylfadóttir
67584507,Georg Kr. Lárusson
