item,name,position,positionLabel,start,end
Q467464,Katrín Jakobsdóttir,Q19190022,Prime Minister,28 November 2021,Incumbent
Q879376,Bjarni Benediktsson,Q1816353,Minister of Finance and Economic Affairs,28 November 2021,Incumbent
Q201075,Sigurður Ingi Jóhannsson,Q17013920,Minister of Infrastructure,28 November 2021,Incumbent
Q438056,Svandís Svavarsdóttir,Q1448248,"Minister of Food, Fisheries and Agriculture",28 November 2021,Incumbent
Q1557735,Guðlaugur Þór Þórðarson,Q16429370,"Minister for the Environment, Energy and Climate",28 November 2021,Incumbent
Q28734624,Þórdís Kolbrún R. Gylfadóttir,Q55374777,Minister for Foreign Affairs,28 November 2021,Incumbent
Q23753778,Lilja Dögg Alfreðsdóttir,Q2602711,Minister of Culture and Business Affairs,28 November 2021,Incumbent
Q252565,Ásmundur Einar Daðason,Q12351697,Minister of Education and Children,28 November 2021,Incumbent
Q44216756,Guðmundur Ingi Guðbrandsson,Q6866420,Minister of Social Affairs and the Labour Market,28 November 2021,Incumbent
Q27988721,Áslaug Arna Sigurbjörnsdóttir,Q20572698,"Minister of Science, Industry and Innovation",28 November 2021,Incumbent
Q1715048,Jón Gunnarsson,Q17013941,Minister of the Interior,28 November 2021,1 February 2022
Q1715048,Jón Gunnarsson,Q17013941,Minister of Justice,1 February 2022,Incumbent
Q3481103,Willum Þór Þórsson,Q17013938,Minister of Health,28 November 2021,Incumbent
