name,position
Katrín Jakobsdóttir,Prime Minister
Bjarni Benediktsson,Minister of Finance and Economic Affairs
Sigurður Ingi Jóhannsson,Minister of Infrastructure
Svandís Svavarsdóttir,"Minister of Food, Fisheries and Agriculture"
Gudlaugur Thór Thórdarson,"Minister of the Environment, Energy and Climate"
Thórdís Kolbrún Reykfjörd Gylfadóttir,Minister for Foreign Affairs
Lilja Alfreðsdóttir,Minister of Culture and Business Affairs
Ásmundur Einar Daðason,Minister of Education and Children
Guðmundur Ingi Guðbrandsson,Minister of Social Affairs and the Labour Market
Áslaug Arna Sigurbjörnsdóttir,"Minister of Higher Education, Science and Innovation"
Jón Gunnarsson,Minister of Justice
Willum Þór Þórsson,Minister of Health
