@@,itemlabel,item,startdate,enddate
+++,Páll Einarsson,,1908-05-07,1914-05-07
+++,Knud Zimsen,,1914-05-07,1932-12-30
+++,Jón Þorláksson,Q562079,1932-12-30,1935-03-20
+++,Pétur Halldórsson,,1935-03-20,1940-11-26
+++,Bjarni Benediktsson,Q561818,1940-11-26,1947-02-10
+++,Gunnar Thoroddsen,Q984037,1947-02-10,1959-11-19
+++,Geir Hallgrímsson,Q962090,1959-11-19,1972-12-01
+++,Auður Auðuns,Q438076,1959-11-19,1960-10-06
+++,Birgir Ísleifur Gunnarsson,Q4916259,1972-12-01,1978-08-15
+++,Egill Skúli Ingibergsson,Q16422899,1978-08-15,1982-05-27
+++,Markús Örn Antonsson,Q1683986,1991-07-16,1994-03-17
+++,Árni Sigfússon,Q16419390,1994-03-17,1994-06-13
+++,Ingibjörg Sólrún Gísladóttir,Q262299,1994-06-13,2003-02-01
+++,Steinunn Valdís Óskarsdóttir,Q467461,2004-11-30,2006-06-13
->,Vilhjálmur Þ. Vilhjálmsson->Vilhjálmur Þórmundur Vilhjálmsson,Q1525047,2006-06-13,2007-10-16
->,Dagur B. Eggertsson->Dagur Bergþóruson Eggertsson,Q1151234,2007-10-16,2008-01-24
->,Ólafur F. Magnússon->Ólafur Friðrik Magnússon,Q2257073,2008-01-24,2008-08-21
+++,Hanna Birna Kristjánsdóttir,Q2276642,2008-08-21,2010-06-15
->,Dagur B. Eggertsson->Dagur Bergþóruson Eggertsson,Q1151234,2014-06-16,
