item,itemLabel,startDate,endDate
,Páll Einarsson,1908-05-07,1914-05-07
,Knud Zimsen,1914-05-07,1932-12-30
Q562079,Jón Þorláksson,1932-12-30,1935-03-20
,Pétur Halldórsson,1935-03-20,1940-11-26
Q561818,Bjarni Benediktsson,1940-11-26,1947-02-10
Q984037,Gunnar Thoroddsen,1947-02-10,1959-11-19
Q438076,Auður Auðuns,1959-11-19,1960-10-06
Q962090,Geir Hallgrímsson,1959-11-19,1972-12-01
Q4916259,Birgir Ísleifur Gunnarsson,1972-12-01,1978-08-15
Q16422899,Egill Skúli Ingibergsson,1978-08-15,1982-05-27
Q298030,Davíð Oddsson,1982-05-27,1991-07-16
Q1683986,Markús Örn Antonsson,1991-07-16,1994-03-17
Q16419390,Árni Sigfússon,1994-03-17,1994-06-13
Q262299,Ingibjörg Sólrún Gísladóttir,1994-06-13,2003-02-01
Q3482449,Þórólfur Árnason,2003-02-01,2004-11-30
Q467461,Steinunn Valdís Óskarsdóttir,2004-11-30,2006-06-13
Q1525047,Vilhjálmur Þórmundur Vilhjálmsson,2006-06-13,2007-10-16
Q1151234,Dagur Bergþóruson Eggertsson,2007-10-16,2008-01-24
Q2257073,Ólafur Friðrik Magnússon,2008-01-24,2008-08-21
Q2276642,Hanna Birna Kristjánsdóttir,2008-08-21,2010-06-15
Q445921,Jón Gnarr,2010-06-15,2014-06-16
Q1151234,Dagur Bergþóruson Eggertsson,2014-06-16,
