ordinal,item,itemLabel,inception,inceptionPrecision,startTime,startTimePrecision,abolished,abolishedPrecision,endTime,endTimePrecision,replaces,replacesLabel,replacedBy,replacedByLabel,follows,followsLabel,followedBy,followedByLabel
,Q5454136,First cabinet of Jón Magnússon,1917-01-04,11,1917-01-01,9,1920-02-25,11,,,,,Q7443683,Second cabinet of Jón Magnússon,,,Q7443683,Second cabinet of Jón Magnússon
,Q7443683,Second cabinet of Jón Magnússon,1920-02-25,11,1920-01-01,9,1922-03-07,11,,,Q5454136,First cabinet of Jón Magnússon,Q5015555,Cabinet of Sigurður Eggerz,Q5454136,First cabinet of Jón Magnússon,Q5015555,Cabinet of Sigurður Eggerz
,Q5015555,Cabinet of Sigurður Eggerz,1922-03-07,11,1922-01-01,9,1924-03-22,11,,,Q7443683,Second cabinet of Jón Magnússon,Q7785045,Third cabinet of Jón Magnússon,Q7443683,Second cabinet of Jón Magnússon,Q7785045,Third cabinet of Jón Magnússon
,Q7785045,Third cabinet of Jón Magnússon,1924-03-22,11,1924-01-01,9,1926-07-08,11,,,Q5015555,Cabinet of Sigurður Eggerz,Q5015523,Cabinet of Jón Þorláksson,Q5015555,Cabinet of Sigurður Eggerz,Q5015523,Cabinet of Jón Þorláksson
,Q5015523,Cabinet of Jón Þorláksson,1926-07-08,11,1926-01-01,9,1927-08-28,11,,,Q7785045,Third cabinet of Jón Magnússon,Q5015569,Cabinet of Tryggvi Þórhallsson,Q7785045,Third cabinet of Jón Magnússon,Q5015569,Cabinet of Tryggvi Þórhallsson
,Q5015569,Cabinet of Tryggvi Þórhallsson,1927-08-28,11,1927-01-01,9,1932-06-03,11,,,Q5015523,Cabinet of Jón Þorláksson,Q5015589,Cabinet of Ásgeir Ásgeirsson,Q5015523,Cabinet of Jón Þorláksson,Q5015589,Cabinet of Ásgeir Ásgeirsson
,Q5015589,Cabinet of Ásgeir Ásgeirsson,1932-06-03,11,1932-01-01,9,1934-07-28,11,,,Q5015569,Cabinet of Tryggvi Þórhallsson,Q5454135,First cabinet of Hermann Jónasson,Q5015569,Cabinet of Tryggvi Þórhallsson,Q5454135,First cabinet of Hermann Jónasson
,Q5454135,First cabinet of Hermann Jónasson,1934-07-28,11,1934-01-01,9,1938-04-02,11,,,Q5015589,Cabinet of Ásgeir Ásgeirsson,Q7443681,Second cabinet of Hermann Jónasson,Q5015589,Cabinet of Ásgeir Ásgeirsson,Q7443681,Second cabinet of Hermann Jónasson
,Q7443681,Second cabinet of Hermann Jónasson,1938-04-02,11,1938-01-01,9,1939-04-17,11,,,Q5454135,First cabinet of Hermann Jónasson,Q7785043,Third cabinet of Hermann Jónasson,Q5454135,First cabinet of Hermann Jónasson,Q7785043,Third cabinet of Hermann Jónasson
,Q7785043,Third cabinet of Hermann Jónasson,1939-04-17,11,1939-01-01,9,1941-11-18,11,,,Q7443681,Second cabinet of Hermann Jónasson,Q5476232,Fourth cabinet of Hermann Jónasson,Q7443681,Second cabinet of Hermann Jónasson,Q5476232,Fourth cabinet of Hermann Jónasson
