position,title
Q29971860,ambassador to Albania
Q38361051,ambassador to Andorra
Q38360363,ambassador to Argentina
Q38361102,ambassador to Armenia
Q38360775,ambassador to Australia
Q38351276,ambassador to Austria
Q38360890,ambassador to Azerbaijan
Q38361153,ambassador to Bangladesh
Q38360965,ambassador to Barbados
Q38361062,ambassador to Belarus
Q30056405,ambassador to Belgium
Q38360712,ambassador to Bosnia and Herzegovina
Q38360955,ambassador to Botswana
Q38360201,ambassador to Brazil
Q38360680,ambassador to Bulgaria
Q38360175,ambassador to Cambodia
Q38351268,ambassador to Canada
Q38361071,ambassador to Cape Verde
Q38360375,ambassador to Chile
Q38360748,ambassador to Colombia
Q38360258,ambassador to Costa Rica
Q38360831,ambassador to Croatia
Q38360589,ambassador to Cuba
Q38361206,ambassador to Cyprus
Q38360439,ambassador to the Czech Republic
Q38351253,ambassador to Czechoslovakia
Q27430486,ambassador to Denmark
Q38361142,ambassador to the Dominican Republic
Q30056324,ambassador to Egypt
Q38361197,ambassador to Estonia
Q92210314,ambassador to the European Union
Q38360577,ambassador to Ethiopia
Q38351340,ambassador to Finland
Q15412310,ambassador to France
Q30063904,ambassador to Georgia
Q38351285,ambassador to East Germany
Q30056430,ambassador to Germany
Q38360899,ambassador to Greece
Q38360667,ambassador to Grenada
Q38360945,ambassador to Guyana
Q38361114,ambassador to Hungary
Q30056391,ambassador to India
Q38360987,ambassador to Indonesia
Q38360554,ambassador to Iran
Q38361091,ambassador to Iraq
Q38360850,ambassador to Israel
Q38360763,ambassador to Italy
Q38361164,ambassador to Jamaica
Q38351330,ambassador to Japan
Q38361020,ambassador to Kazakhstan
Q38360799,ambassador to Kenya
Q38360301,ambassador to Kuwait
Q38360933,ambassador to Kyrgyzstan
Q38360236,ambassador to Laos
Q38360787,ambassador to Latvia
Q38360325,ambassador to Lebanon
Q38360271,ambassador to Lesotho
Q38360602,ambassador to Liechtenstein
Q38360737,ambassador to Lithuania
Q38360691,ambassador to Luxembourg
Q38360492,ambassador to Malawi
Q38360528,ambassador to Malaysia
Q38360453,Ambassador to the Maldives
Q38360188,ambassador to Malta
Q38360809,ambassador to Mauritius
Q38360399,ambassador to Mexico
Q30504877,ambassador to Moldova
Q38360515,ambassador to Mongolia
Q30160660,ambassador to Montenegro
Q38360616,ambassador to Mozambique
Q38361123,ambassador to Namibia
Q38360225,ambassador to Nepal
Q38360338,ambassador to the Netherlands
Q38361042,ambassador to New Zealand
Q38361080,ambassador to Nicaragua
Q38361239,ambassador to Nigeria
Q38360565,ambassador to North Korea
Q38360641,ambassador to North Macedonia
Q38351223,ambassador to Norway
Q38360872,ambassador to Pakistan
Q38360861,ambassador to Panama
Q38274526,ambassador to the People's Republic of China
Q38360385,ambassador to Peru
Q38360464,ambassador to the Philippines
Q38360349,ambassador to Poland
Q38361176,ambassador to Portugal
Q38360725,ambassador to Ireland
Q38360413,ambassador to Romania
Q38351234,ambassador to the Russian Federation
Q38360250,ambassador to San Marino
Q38360699,ambassador to Saudi Arabia
Q38361009,ambassador to Serbia
Q38361187,ambassador to Serbia and Montenegro
Q38360925,ambassador to Singapore
Q38360978,ambassador to Slovakia
Q38360540,ambassador to South Africa
Q38361216,ambassador to South Korea
Q38351292,ambassador to the Soviet Union
Q38361032,ambassador to Spain
Q30068668,ambassador to Sri Lanka
Q38351320,ambassador to Sweden
Q38360911,ambassador to Switzerland
Q38361230,ambassador to Syria
Q38360286,ambassador to Tajikistan
Q38360655,ambassador to Tanzania
Q38360881,ambassador to Thailand
Q38360997,ambassador to the Bahamas
Q38360626,ambassador to Tunisia
Q38360820,ambassador to Turkey
Q38360503,ambassador to Turkmenistan
Q38360843,ambassador to Uganda
Q38360313,ambassador to Ukraine
Q38351303,ambassador to the United Kingdom
Q38351259,ambassador to the United States of America
Q30158230,ambassador to Uruguay
Q38361132,ambassador to Uzbekistan
Q38360213,ambassador to the Holy See
Q38360423,ambassador to Venezuela
Q38360477,ambassador to Vietnam
Q38351244,ambassador to Yugoslavia
